NewsId|ResponseId|RecordedDate|word_count|D1|D2|D3|D4|D5.3|Duration|IA_Q1|IA_Q2|IA_Q3|IA_Q4|IA_Q5|GQ1|GQ2|GQ3|GQ4|GQ5|QQ1|QQ2|QQ3|QQ4|QQ5|C35Q1|C35Q2|C35Q3|C35Q4|C35Q5|C4Q1|C4Q2|C4Q3|C4Q4|C4Q5|CLQ1|CLQ2|CLQ3|CLQ4|CLQ5|CSQ1|CSQ2|CSQ3|CSQ4|CSQ5|C35FSQ1|C35FSQ2|C35FSQ3|C35FSQ4|C35FSQ5|C4FSQ1|C4FSQ2|C4FSQ3|C4FSQ4|C4FSQ5|C35ZSQ1|C35ZSQ2|C35ZSQ3|C35ZSQ4|C35ZSQ5|C4ZSQ1|C4ZSQ2|C4ZSQ3|C4ZSQ4|C4ZSQ5|IA_Any|Q_block_number|tagged_order|orig_C35Q1|orig_C35Q2|orig_C35Q3|orig_C35Q4|orig_C35Q5
1027|R_8vaZHl5EaGsxV6N|2024-02-13 17:49:28|363|21/10/2005|Hombre|Bachelor of Business Administration|Si||0 days 00:12:22|False|False|False|False|False|{'parla'}|1|{'0'}|{'3'}|{'3'}|['parla']|1|1|3|99|['parla']|1|1|3|3|['parla']|1|0|0|0|['parla']|1|0|0|3|['parla']|1|0|0|3|['parla', ' madrid']|2|0|99|99|['parla']|1|0|0|0|['parla']|1|1|3|3|['parla']|1|0|0|0|False|1|2|['parla']|1|1|3|3
1215|R_6vWNIkfF5DZUgyl|2024-02-18 17:11:46|406|19/04/2005|Hombre|Double degree in Business Administration and AI for Business|Si||0 days 00:18:37|False|False|False|False|False|{'madrid'}|1|{'0'}|{'0'}|{'0'}|['ninguno']|0|0|0|0|['ninguno']|99|99|99|99|['ninguno']|0|0|0|0|['ninguno']|0|0|0|0|['madrid']|1|0|0|0|['madrid']|1|0|0|0|['ninguno']|0|0|0|0|['ninguno']|99|0|0|0|['ninguno']|0|0|0|0|False|2|1|['madrid']|1|0|0|0
1215|R_5jkrYxnLPbrd44s|2024-04-19 11:22:46|406|19/10/2004|Mujer|Bachelor of Business Administration|Si||0 days 00:23:35|False|False|False|False|False|{'madrid'}|1|{'0'}|{'0'}|{'0'}|['madrid']|1|0|0|0|['ninguno']|99|99|99|99|['ninguno']|0|0|0|0|['ninguno']|0|0|0|0|['madrid']|1|0|0|0|['madrid']|1|0|0|0|['ninguno']|0|0|0|0|['ninguno']|99|99|0|0|['ninguno']|0|0|0|0|False|2|2|['madrid']|1|0|0|0
1248|R_8Vkz5pKDl0z0zbO|2024-01-27 11:58:37|126|27/05/2004|Mujer|Bachelor of Business Administration|Si||0 days 00:07:11|False|False|False|False|False|{'madrid'}|1|{'0'}|{'0'}|{'0'}|['ninguno']|0|0|0|0|['ninguno']|0|0|0|0|['ninguno']|0|0|0|0|['ninguno']|0|0|0|3|['ninguno']|0|0|0|0|['madrid']|1|0|0|98|['ninguno']|0|0|0|0|['ninguno']|99|0|0|0|['ninguno']|0|0|0|0|False|3|1|['ninguno']|0|0|0|0
1248|R_2dvoYgF6z4DotMH|2024-02-19 11:30:35|126|11/03/2004|Hombre|Bachelor of Business Administration|Si||0 days 00:06:49|False|False|False|False|False|{'madrid'}|1|{'0'}|{'0'}|{'0'}|['ninguno']|0|0|98|0|['ninguno']|0|0|0|0|['ninguno']|0|0|0|0|['ninguno']|0|0|0|3|['ninguno']|0|0|0|0|['madrid']|1|0|0|0|['ninguno']|0|0|0|0|['ninguno']|0|0|0|0|['ninguno']|0|0|0|0|False|3|2|['ninguno']|0|0|0|0
1457|R_6MuM9mqi64fe89v|2024-02-02 12:18:08|347|13/06/2004|Hombre|Bachelor of Business Administration|Si||0 days 00:20:23|False|False|True|True|True|{'madrid'}|1|{'1'}|{'5', '1'}|{'5', '1'}|['madrid']|1|0|0|0|['madrid']|1|1|5|1|['madrid']|1|1|1|1|['madrid']|1|1|1|1|['madrid']|1|1|1|1|['madrid']|1|1|3|4|['madrid']|1|1|5|1|['madrid']|1|1|5|4|['madrid']|1|1|1|1|True|2|1|['madrid']|1|1|3|4
1457|R_8GIeFuQPFdmAK0f|2024-02-15 10:08:12|347|24/08/2004|Mujer|Bachelor of Business Administration|Si||0 days 00:20:56|False|False|True|True|True|{'madrid'}|1|{'1'}|{'5', '1'}|{'5', '1'}|['madrid']|1|1|5|1|['madrid']|1|1|5|1|['madrid']|1|1|1|1|['madrid']|1|1|1|1|['madrid']|1|1|1|1|['madrid']|1|0|0|0|['madrid']|1|1|5|1|['madrid']|1|1|5|1|['madrid']|1|1|1|1|True|2|2|['madrid']|1|1|3|4
1480|R_3a8ncNPn5JC3tZK|2024-04-19 11:12:35|710|04/09/2004|Prefiero identificarme como:|Bachelor of Business Administration|Si||0 days 00:25:34|False|True|False|False|False|{'jaen', 'jerez de la frontera', 'madrid', 'gandia'}|4|{'1'}|{'3'}|{'2'}|['gandia ', ' jaen ', ' jerez de la frontera ', ' madrid ']|4|1|2|1|['gandia', ' valencia', ' jaen', ' jerez de la frontera']|4|1|3|2|['gandia', ' jaen', ' jerez de la frontera']|3|1|2|2|['gandia', ' valencia', ' jaen', ' jerez de la frontera']|4|1|2|2|['gandia', ' valencia', ' jaen', ' jerez de la frontera']|4|1|2|2|['gandia', ' valencia', ' jaen', ' jerez de la frontera']|4|1|3|2|['gandia', ' jaen', ' jerez de la frontera']|3|1|2|2|['gandia', ' valencia', ' jaen', ' jerez de la frontera']|4|1|3|2|['gandia', ' jaen', ' jerez de la frontera']|3|1|2|2|True|1|1|['gandia', ' valencia', ' jaen', ' jerez de la frontera']|4|0|0|0
1480|R_5jkrYxnLPbrd44s|2024-04-19 11:22:46|710|19/10/2004|Mujer|Bachelor of Business Administration|Si||0 days 00:23:35|False|True|False|False|False|{'jaen', 'jerez de la frontera', 'madrid', 'gandia'}|4|{'1'}|{'3'}|{'2'}|['ninguno', ' jaen', ' gandia', ' jerez de la frontera']|3|1|98|2|['gandia', ' valencia', ' jaen', ' jerez de la frontera']|4|1|3|2|['gandia', ' jaen', ' jerez de la frontera']|3|1|2|2|['gandia', ' valencia', ' jaen', ' jerez de la frontera']|4|1|2|2|['gandia', ' valencia', ' jaen', ' jerez de la frontera']|4|1|2|2|['gandia', ' valencia', ' madrid', ' jaen', ' jerez de la frontera']|5|1|3|2|['gandia', ' jaen', ' jerez de la frontera']|3|1|2|2|['gandia', ' valencia', ' jaen', ' jerez de la frontera']|4|1|3|2|['gandia', ' jaen', ' jerez de la frontera']|3|1|2|2|True|1|2|['gandia', ' valencia', ' jaen', ' jerez de la frontera']|4|0|0|0
1604|R_6HhllNCjM8aRUNy|2024-02-03 15:48:04|496|15/08/2005|Hombre|Bachelor of Business Administration|Si||0 days 00:16:40|False|True|False|False|False|{'os blancos (ourense)'}|1|{'0'}|{'0'}|{'0'}|['ourense']|1|1|98|1|['os blancos', ' ourense']|2|1|3|1|['os blancos']|1|0|0|0|['os blancos']|1|0|0|0|['os blancos']|1|0|0|0|['os blancos', ' ourense']|2|1|3|1|['os blancos']|1|0|0|0|['os blancos', ' ourense']|2|1|3|1|['os blancos']|1|0|0|0|True|3|1|['os blancos', ' ourense']|2|1|3|0
1604|R_4iwLQsycpMKhthm|2024-02-28 22:28:28|496|14/07/2004|Hombre|Bachelor of Business Administration|No|Más de 5 años pero menos de 7 años|0 days 00:33:25|False|True|False|False|False|{'os blancos (ourense)'}|1|{'0'}|{'0'}|{'0'}|['os blancos']|1|99|99|0|['os blancos', ' ourense']|2|1|3|1|['os blancos']|1|0|0|0|['os blancos']|1|0|0|0|['os blancos']|1|0|0|0|['os blancos', ' ourense']|2|1|3|1|['os blancos']|1|0|0|0|['os blancos', ' ourense']|2|1|3|1|['os blancos']|1|0|0|0|True|3|2|['os blancos', ' ourense']|2|1|3|0
1634|R_4OlyFtEW2G0STDU|2024-01-26 12:47:39|351|21/10/2005|Hombre|Double degree in Business Administration and AI for Business|Si||0 days 00:24:24|True|True|False|False|False|{'alcorcon'}|1|{'1'}|{'98'}|{'2'}|['alcorcon', ' uno de la provincia de guadalajara', ' uno de la provincia de teruel']|3|1|98|1|['alcorcon', ' guadalajara', ' teruel']|3|1|4|3|['alcorcon', ' guadalajara', ' teruel']|3|1|98|98|['alcorcon', ' guadalajara', ' teruel']|3|1|98|1|['alcorcon', ' madrid', ' guadalajara', ' teruel']|4|1|98|2|['alcorcon', ' guadalajara', ' teruel']|3|1|2|5|['alcorcon', ' guadalajara', ' teruel']|3|1|98|98|['alcorcon', ' guadalajara', ' teruel']|3|1|4|3|['alcorcon', ' guadalajara', ' teruel']|3|1|98|98|True|3|1|['alcorcon', ' madrid', ' guadalajara', ' teruel']|4|1|1|2
1634|R_8p1BBGRhUUSo7WV|2024-02-23 12:22:36|351|22/10/2003|Mujer|Bachelor of Business Administration|No|Más de 2 años pero menos de 5 años|0 days 00:18:08|True|True|False|False|False|{'alcorcon'}|1|{'1'}|{'98'}|{'2'}|[' alcorcon', '  teruel', ' guadalajara ']|3|1|99|5|['alcorcon', ' guadalajara', ' teruel']|3|1|98|98|['alcorcon', ' guadalajara', ' teruel']|3|1|98|98|['alcorcon', ' guadalajara', ' teruel']|3|1|98|1|['alcorcon', ' madrid', ' guadalajara', ' teruel']|4|1|98|2|['alcorcon', ' madrid', ' guadalajara', ' teruel']|4|1|2|1|['alcorcon', ' guadalajara', ' teruel']|3|1|98|98|['alcorcon', ' guadalajara', ' teruel']|3|1|4|3|['alcorcon', ' guadalajara', ' teruel']|3|1|98|98|True|3|2|['alcorcon', ' madrid', ' guadalajara', ' teruel']|4|1|1|2
1668|R_3ExKmvZO3PqlSmm|2024-01-29 12:04:19|1021|28/06/2003|Mujer|Bachelor in Transformational Leadership and Social Impact|Si||0 days 00:18:01|False|False|False|False|False|{'sevilla', 'granada', 'madrid', 'malaga'}|4|{'0'}|{'98'}|{'5', '3'}|['sevilla', ' granada', ' malaga']|3|1|0|0|['sevilla']|1|0|98|99|['sevilla', ' granada', ' malaga']|3|0|0|5|['sevilla', ' granada', ' malaga']|3|0|0|3|['sevilla', ' granada', ' malaga']|3|0|0|3|['sevilla']|1|1|3|3|['sevilla', ' granada', ' malaga']|3|0|0|0|['ninguno']|99|0|0|0|['sevilla', ' granada', ' malaga']|3|0|0|5|False|3|1|['sevilla', ' granada', ' malaga']|3|0|0|0
1668|R_6vWNIkfF5DZUgyl|2024-02-18 17:11:46|1021|19/04/2005|Hombre|Double degree in Business Administration and AI for Business|Si||0 days 00:18:37|False|False|False|False|False|{'sevilla', 'granada', 'madrid', 'malaga'}|4|{'0'}|{'98'}|{'5', '3'}|['sevilla', ' granada', ' malaga']|3|0|99|3|['sevilla']|1|0|99|99|['sevilla', ' granada', ' malaga']|3|0|0|3|['sevilla', ' granada', ' malaga']|3|0|0|3|['sevilla', ' granada', ' malaga']|3|0|0|3|['ninguno']|99|0|0|0|['sevilla', ' granada', ' malaga']|3|0|0|0|['ninguno']|99|0|0|0|['sevilla', ' granada', ' malaga']|3|0|0|0|False|3|2|['sevilla', ' granada', ' malaga']|3|0|0|0
1951|R_2lPhnCC4188uyFX|2024-01-27 21:19:16|642|23/07/2004|Hombre|Bachelor of Business Administration|Si||0 days 00:16:06|False|False|False|False|False|{'ferrol'}|1|{'1'}|{'98'}|{'5', '1'}|['ferrol']|1|0|1|4|['ferrol']|1|1|4|5|['ferrol']|1|1|98|1|['ferrol']|1|1|98|3|['ferrol']|1|1|98|98|['ferrol']|1|1|4|5|['ferrol']|1|1|98|1|['ferrol']|1|1|4|5|['ferrol']|1|1|98|1|False|2|1|['ferrol']|1|1|1|3
1951|R_8pLUvXpe3gOPEeR|2024-02-17 18:09:18|642|10/09/2004|Mujer|Bachelor of Business Administration|Si||0 days 00:16:34|False|False|False|False|False|{'ferrol'}|1|{'1'}|{'98'}|{'5', '1'}|['ferrol']|1|1|98|5|['ferrol']|1|1|4|5|['ferrol']|1|1|98|1|['ferrol']|1|1|98|3|['ferrol']|1|1|98|98|['ferrol']|1|1|4|5|['ferrol']|1|1|98|1|['ferrol']|1|1|4|5|['ferrol']|1|1|98|1|False|2|2|['ferrol']|1|1|1|3
2163|R_2fAAKLZPuG4aopW|2024-01-26 23:39:42|332|28/05/2005|Mujer|Double degree in Business Administration and AI for Business|Si||0 days 00:16:12|False|False|False|False|False|{'sevilla', 'madrid'}|2|{'0'}|{'3'}|{'6'}|['sevilla']|1|0|3|98|['sevilla']|1|1|3|1|['sevilla']|1|0|3|98|['sevilla', ' madrid']|2|0|4|6|['sevilla', ' madrid']|2|0|0|6|['sevilla']|1|1|3|2|['sevilla']|1|0|4|98|['sevilla']|1|1|3|3|['sevilla']|1|0|3|98|False|3|1|['sevilla']|1|1|3|3
2163|R_3roxjUccUHmuOCQ|2024-02-19 18:01:31|332|17/11/2003|Hombre|Bachelor of Business Administration|Si||0 days 00:21:14|False|False|False|False|False|{'sevilla', 'madrid'}|2|{'0'}|{'3'}|{'6'}|['sevilla']|1|1|3|6|['sevilla']|1|1|3|1|['sevilla']|1|0|3|98|['sevilla', ' madrid']|2|0|4|6|['sevilla', ' madrid']|2|0|0|6|['sevilla']|1|1|3|2|['sevilla']|1|0|4|98|['sevilla']|1|1|3|1|['sevilla']|1|0|3|98|False|3|2|['sevilla']|1|1|3|3
2236|R_7k6wSzrEcYQkclQ|2024-02-13 17:03:28|718|30/12/2003|Hombre|Bachelor of Business Administration|Si||0 days 00:12:18|False|False|False|False|False|{'barcelona', 'madrid'}|2|{'0'}|{'0'}|{'0'}|['ninguno']|0|0|98|98|['madrid', ' barcelona', ' paris', ' berlin']|4|99|99|99|['madrid', ' tokio', ' barcelona', ' pekin', ' berlin']|5|0|0|0|['ninguno']|0|0|0|0|['madrid', ' tokio', ' barcelona', ' paris', ' pekin', ' berlin']|6|0|0|0|['madrid', ' barcelona', ' paris', ' berlin']|4|99|99|99|['madrid', ' tokio', ' barcelona', ' paris', ' pekin', ' berlin']|6|0|0|0|['madrid', ' barcelona', ' paris', ' berlin']|4|0|0|0|['ninguno']|0|0|0|0|False|1|1|['madrid', ' tokio', ' barcelona', ' paris', ' berlin']|5|0|0|0
2236|R_3oncJiTqAThbZzX|2024-03-05 16:46:55|718|21/06/2003|Hombre|Bachelor of Business Administration|No|Más de 5 años pero menos de 7 años|0 days 00:12:07|False|False|False|False|False|{'barcelona', 'madrid'}|2|{'0'}|{'0'}|{'0'}|['madrid', ' tokio', ' barcelona', ' paris', ' pekin', ' berlin']|6|0|0|0|['madrid', ' barcelona', ' paris', ' berlin']|4|0|0|0|['madrid', ' tokio', ' barcelona', ' paris', ' pekin', ' berlin']|6|0|0|0|['ninguno']|0|0|0|0|['madrid', ' tokio', ' barcelona', ' paris', ' pekin', ' berlin']|6|0|0|0|['madrid', ' barcelona', ' paris', ' berlin']|4|0|0|0|['madrid', ' tokio', ' barcelona', ' paris', ' pekin', ' berlin']|6|0|0|0|['madrid', ' barcelona', ' paris', ' berlin']|4|0|0|0|['ninguno']|0|0|0|0|False|1|2|['madrid', ' tokio', ' barcelona', ' paris', ' berlin']|5|0|0|0
2483|R_8Bnw315Q19hY8lR|2024-01-26 12:32:17|293|13/06/2005|Mujer|Bachelor of Business Administration|Si||0 days 00:10:38|False|False|False|False|False|{'ciudad real'}|1|{'0'}|{'0'}|{'0'}|['ciudad real']|1|1|1|1|['ciudad real']|1|0|2|0|['ciudad real']|1|0|0|0|['ciudad real']|1|0|0|0|['ciudad real']|1|0|0|0|['99']|0|0|0|0|['ciudad real']|1|0|0|0|['ciudad real']|1|0|2|1|['ciudad real']|1|0|0|0|False|1|1|['ciudad real']|1|0|0|0
2483|R_2B4k00rkNL5a6Kf|2024-02-20 11:05:42|293|11/01/2004|Mujer|Bachelor of Business Administration|Si||0 days 13:17:02|False|False|False|False|False|{'ciudad real'}|1|{'0'}|{'0'}|{'0'}|['el municipio de ciudad real']|1|1|0|0|['ciudad real']|1|0|2|0|['ciudad real']|1|0|0|0|['ciudad real']|1|0|0|0|['ciudad real']|1|0|0|0|['ciudad real']|1|0|0|0|['ciudad real']|1|0|0|0|['ciudad real']|1|0|2|1|['ciudad real']|1|0|0|0|False|1|2|['ciudad real']|1|0|0|0
2749|R_5RxbL64w8WgtCYT|2024-01-27 17:39:44|129|24/09/2004|Mujer|Bachelor of Business Administration|No|Más de 5 años pero menos de 7 años|0 days 00:20:00|False|False|False|True|True|{'zaragoza'}|1|{'1'}|{'2', '1'}|{'4', '1'}|['zaragoza']|1|0|99|5|['zaragoza']|1|1|4|1|['zaragoza']|1|1|4|1|['zaragoza']|1|1|4|1|['zaragoza']|1|1|4|1|['zaragoza']|1|1|4|2|['zaragoza']|1|1|4|1|['zaragoza']|1|1|4|1|['zaragoza']|1|1|4|1|True|3|1|['zaragoza']|1|0|4|0
2749|R_2ptyvPsDZvGKe3k|2024-02-16 11:23:28|129|29/02/2004|Hombre|Bachelor of Business Administration|Si||0 days 00:20:02|False|False|False|True|True|{'zaragoza'}|1|{'1'}|{'2', '1'}|{'4', '1'}|['zaragoza']|1|1|4|1|['zaragoza']|1|1|4|1|['zaragoza']|1|1|4|1|['zaragoza']|1|1|4|1|['zaragoza']|1|1|4|1|['zaragoza']|1|1|1|0|['zaragoza']|1|1|4|1|['zaragoza']|1|0|4|1|['zaragoza']|1|1|4|1|True|3|2|['zaragoza']|1|0|4|0
